"Date","Channel","Tier","CA_hotel_target","CA_flight_target","Cost","Sum_Install","CA_hotel","CA_flight","Total_budget"
"1-Jan","android  -  BBM App Install","NORMAL",8400,20000,18619.2,12138,770,2327,250000
"1-Feb","android  -  BBM App Install","NORMAL",11000,20000,8438.4,6892,339,884,200000
"1-Mar","android  -  BBM App Install","NORMAL",12800,27692,12086.4,5068,235,478,250000
"1-Apr","android  -  BBM App Install","NORMAL",18000,29230,25249.2,16733,428,921,200000
"1-May","android  -  BBM App Install","NORMAL",23000,30769,30985.2,20339,699,1161,250000
"1-Jun","android  -  BBM App Install","NORMAL",29400,41538,20667.6,13450,549,1200,400000
"1-Jul","android  -  BBM App Install","NORMAL",27300,53846,32467.2,19704,822,1378,500000
"1-Aug","android  -  BBM App Install","NORMAL",25200,33500,38727.6,21331,660,1257,300000
"1-Sep","android  -  BBM App Install","NORMAL",21000,42000,23892,10271,575,1008,350000
"1-Oct","android  -  BBM App Install","NORMAL",12300,20000,23749.2,21000,830,1364,300000
"1-Nov","android  -  BBM App Install","NORMAL",12900,23000,22324.8,20135,788,1506,325000
"1-Dec","android  -  BBM App Install","NORMAL",14400,24000,28197.6,24002,1088,1509,350000
"1-Jan","android  -  BBM App Install","NORMAL",12300,18000,22311.6,19103,698,1475,320000
"1-Feb","android  -  BBM App Install","NORMAL",12900,20500,19281.6,16542,519,1098,346300
"1-Mar","android  -  BBM App Install","NORMAL",14400,23000,20815.2,17598,677,1217,448100
"1-Apr","android  -  BBM App Install","NORMAL",15000,36500,14560.8,13222,585,1053,629800
"1-May","android  -  BBM App Install","NORMAL",22500,34500,12859.2,11264,411,1019,767400
"1-Jun","android  -  BBM App Install","NORMAL",24750,40000,11097.6,10292,449,1336,1318450
"1-Jan","android  -  Facebook App Install","HIGH",8400,20000,30468.01,9089,697,2283,250000
"1-Feb","android  -  Facebook App Install","HIGH",11000,20000,40106.21,18026,364,1021,200000
"1-Mar","android  -  Facebook App Install","HIGH",12800,27692,39399.31,15969,400,993,250000
"1-Apr","android  -  Facebook App Install","HIGH",18000,29230,38592.2,21651,674,1225,200000
"1-May","android  -  Facebook App Install","HIGH",23000,30769,41262.36,24961,939,1580,250000
"1-Jun","android  -  Facebook App Install","HIGH",29400,41538,79832.07,32419,900,1740,400000
"1-Jul","android  -  Facebook App Install","HIGH",27300,53846,105819.69,40223,1360,2332,500000
"1-Aug","android  -  Facebook App Install","HIGH",25200,33500,41560.36,21377,1012,1747,300000
