month,platform,channel_group,season,budget
1/1/2016,android,BBM App Install,0,2.5
1/1/2016,android,FB App Install,0,2.5
1/1/2016,android,Glispa App Install,0,2.5
1/1/2016,android,inMobi App Install,0,2.5
1/1/2016,android,Iron Source App Install,0,2.5
1/1/2016,android,UAC App Install,0,2.5
1/1/2016,ios,BBM App Install,0,2.5
1/1/2016,ios,FB App Install,0,2.5
1/1/2016,ios,inMobi App Install,0,2.5
2/1/2016,android,BBM App Install,0,2
2/1/2016,android,FB App Install,0,2
2/1/2016,android,Glispa App Install,0,2
2/1/2016,android,inMobi App Install,0,2
2/1/2016,android,Iron Source App Install,0,2
2/1/2016,android,UAC App Install,0,2
2/1/2016,ios,BBM App Install,0,2
3/1/2016,android,BBM App Install,0,2.5
3/1/2016,android,FB App Install,0,2.5
3/1/2016,android,Glispa App Install,0,2.5
3/1/2016,android,inMobi App Install,0,2.5
3/1/2016,android,Iron Source App Install,0,2.5
3/1/2016,android,UAC App Install,0,2.5
3/1/2016,ios,BBM App Install,0,2.5
4/1/2016,android,BBM App Install,0,2
4/1/2016,android,FB App Install,0,2
4/1/2016,android,Glispa App Install,0,2
4/1/2016,android,inMobi App Install,0,2
4/1/2016,android,Iron Source App Install,0,2
4/1/2016,android,UAC App Install,0,2
4/1/2016,ios,BBM App Install,0,2
5/1/2016,android,BBM App Install,1,2.5
5/1/2016,android,FB App Install,1,2.5
5/1/2016,android,Glispa App Install,1,2.5
5/1/2016,android,inMobi App Install,1,2.5
5/1/2016,android,UAC App Install,1,2.5
5/1/2016,ios,BBM App Install,1,2.5
6/1/2016,android,BBM App Install,2,4
6/1/2016,android,FB App Install,2,4
6/1/2016,android,Glispa App Install,2,4
6/1/2016,android,inMobi App Install,2,4
6/1/2016,android,UAC App Install,2,4
6/1/2016,ios,BBM App Install,2,4
6/1/2016,ios,FB App Install,2,4
6/1/2016,ios,UAC App Install,2,4
7/1/2016,android,BBM App Install,2,5
7/1/2016,android,FB App Install,2,5
7/1/2016,android,Glispa App Install,2,5
7/1/2016,android,inMobi App Install,2,5
7/1/2016,android,UAC App Install,2,5
7/1/2016,ios,BBM App Install,2,5
7/1/2016,ios,FB App Install,2,5
7/1/2016,ios,inMobi App Install,2,5
7/1/2016,ios,UAC App Install,2,5
8/1/2016,android,BBM App Install,0,3
8/1/2016,android,FB App Install,0,3
8/1/2016,android,Glispa App Install,0,3
8/1/2016,android,inMobi App Install,0,3
8/1/2016,android,UAC App Install,0,3
8/1/2016,ios,BBM App Install,0,3
8/1/2016,ios,FB App Install,0,3
8/1/2016,ios,inMobi App Install,0,3
9/1/2016,android,BBM App Install,0,3.5
9/1/2016,android,FB App Install,0,3.5
9/1/2016,android,Glispa App Install,0,3.5
9/1/2016,android,inMobi App Install,0,3.5
9/1/2016,android,UAC App Install,0,3.5
9/1/2016,ios,BBM App Install,0,3.5
9/1/2016,ios,FB App Install,0,3.5
9/1/2016,ios,inMobi App Install,0,3.5
10/1/2016,android,BBM App Install,0,3
10/1/2016,android,FB App Install,0,3
10/1/2016,android,Glispa App Install,0,3
10/1/2016,android,inMobi App Install,0,3
10/1/2016,android,Iron Source App Install,0,3
10/1/2016,android,UAC App Install,0,3
10/1/2016,ios,BBM App Install,0,3
10/1/2016,ios,FB App Install,0,3
10/1/2016,ios,inMobi App Install,0,3
10/1/2016,ios,UAC App Install,0,3
11/1/2016,android,BBM App Install,1,3.25
11/1/2016,android,FB App Install,1,3.25
11/1/2016,android,Glispa App Install,1,3.25
11/1/2016,android,inMobi App Install,1,3.25
11/1/2016,android,Iron Source App Install,1,3.25
11/1/2016,android,UAC App Install,1,3.25
11/1/2016,ios,BBM App Install,1,3.25
11/1/2016,ios,FB App Install,1,3.25
11/1/2016,ios,UAC App Install,1,3.25
12/1/2016,android,BBM App Install,2,3.5
12/1/2016,android,FB App Install,2,3.5
12/1/2016,android,Glispa App Install,2,3.5
12/1/2016,android,inMobi App Install,2,3.5
12/1/2016,android,Iron Source App Install,2,3.5
12/1/2016,android,UAC App Install,2,3.5
12/1/2016,ios,BBM App Install,2,3.5
12/1/2016,ios,FB App Install,2,3.5
12/1/2016,ios,UAC App Install,2,3.5
1/1/2017,android,BBM App Install,0,3.2
1/1/2017,android,FB App Install,0,3.2
1/1/2017,android,Glispa App Install,0,3.2
1/1/2017,android,inMobi App Install,0,3.2
1/1/2017,android,Iron Source App Install,0,3.2
1/1/2017,android,UAC App Install,0,3.2
1/1/2017,ios,BBM App Install,0,3.2
1/1/2017,ios,FB App Install,0,3.2
1/1/2017,ios,UAC App Install,0,3.2
2/1/2017,android,BBM App Install,0,3.463
2/1/2017,android,FB App Install,0,3.463
2/1/2017,android,Glispa App Install,0,3.463
2/1/2017,android,inMobi App Install,0,3.463
2/1/2017,android,Iron Source App Install,0,3.463
2/1/2017,android,UAC App Install,0,3.463
2/1/2017,ios,BBM App Install,0,3.463
2/1/2017,ios,FB App Install,0,3.463
2/1/2017,ios,UAC App Install,0,3.463
3/1/2017,android,BBM App Install,0,4.481
3/1/2017,android,FB App Install,0,4.481
3/1/2017,android,Glispa App Install,0,4.481
3/1/2017,android,inMobi App Install,0,4.481
3/1/2017,android,Iron Source App Install,0,4.481
3/1/2017,android,UAC App Install,0,4.481
3/1/2017,ios,BBM App Install,0,4.481
3/1/2017,ios,FB App Install,0,4.481
3/1/2017,ios,Mundomedia App Install,0,4.481
3/1/2017,ios,UAC App Install,0,4.481
4/1/2017,android,BBM App Install,1,6.298
4/1/2017,android,FB App Install,1,6.298
4/1/2017,android,Glispa App Install,1,6.298
4/1/2017,android,inMobi App Install,1,6.298
4/1/2017,android,Iron Source App Install,1,6.298
4/1/2017,android,UAC App Install,1,6.298
4/1/2017,ios,BBM App Install,1,6.298
4/1/2017,ios,FB App Install,1,6.298
4/1/2017,ios,Mundomedia App Install,1,6.298
4/1/2017,ios,UAC App Install,1,6.298
5/1/2017,android,BBM App Install,2,7.674
5/1/2017,android,FB App Install,2,7.674
5/1/2017,android,Glispa App Install,2,7.674
5/1/2017,android,inMobi App Install,2,7.674
5/1/2017,android,Iron Source App Install,2,7.674
5/1/2017,android,UAC App Install,2,7.674
5/1/2017,ios,BBM App Install,2,7.674
5/1/2017,ios,FB App Install,2,7.674
5/1/2017,ios,inMobi App Install,2,7.674
5/1/2017,ios,Mundomedia App Install,2,7.674
5/1/2017,ios,UAC App Install,2,7.674
6/1/2017,android,BBM App Install,2,13.1845
6/1/2017,android,FB App Install,2,13.1845
6/1/2017,android,Glispa App Install,2,13.1845
6/1/2017,android,inMobi App Install,2,13.1845
6/1/2017,android,Iron Source App Install,2,13.1845
6/1/2017,android,UAC App Install,2,13.1845
6/1/2017,ios,BBM App Install,2,13.1845
6/1/2017,ios,FB App Install,2,13.1845
6/1/2017,ios,inMobi App Install,2,13.1845
6/1/2017,ios,Mundomedia App Install,2,13.1845
6/1/2017,ios,UAC App Install,2,13.1845
7/1/2017,android,BBM App Install,0,6.88
7/1/2017,android,FB App Install,0,6.88
7/1/2017,android,Glispa App Install,0,6.88
7/1/2017,android,inMobi App Install,0,6.88
7/1/2017,android,Iron Source App Install,0,6.88
7/1/2017,android,UAC App Install,0,6.88
7/1/2017,ios,BBM App Install,0,6.88
7/1/2017,ios,FB App Install,0,6.88
7/1/2017,ios,inMobi App Install,0,6.88
