month,channel,tier,budget,CA_hotel_target,CA_flight_target,cost,Sum_Install,CA_hotel,CA_flight
1/1/2016,android  -  BBM App Install,NORMAL,250000,8400,20000,18619.2,12138,770,2327
2/1/2016,android  -  BBM App Install,NORMAL,200000,11000,20000,8438.4,6892,339,884
3/1/2016,android  -  BBM App Install,NORMAL,250000,12800,27692,12086.4,5068,235,478
4/1/2016,android  -  BBM App Install,NORMAL,200000,18000,29230,25249.2,16733,428,921
5/1/2016,android  -  BBM App Install,NORMAL,250000,23000,30769,30985.2,20339,699,1161
6/1/2016,android  -  BBM App Install,NORMAL,400000,29400,41538,20667.6,13450,549,1200
7/1/2016,android  -  BBM App Install,NORMAL,500000,27300,53846,32467.2,19704,822,1378
8/1/2016,android  -  BBM App Install,NORMAL,300000,25200,33500,38727.6,21331,660,1257
9/1/2016,android  -  BBM App Install,NORMAL,350000,21000,42000,23892,10271,575,1008
10/1/2016,android  -  BBM App Install,NORMAL,300000,12300,20000,23749.2,21000,830,1364
11/1/2016,android  -  BBM App Install,NORMAL,325000,12900,23000,22324.8,20135,788,1506
12/1/2016,android  -  BBM App Install,NORMAL,350000,14400,24000,28197.6,24002,1088,1509
1/1/2017,android  -  BBM App Install,NORMAL,320000,12300,18000,22311.6,19103,698,1475
2/1/2017,android  -  BBM App Install,NORMAL,346300,12900,20500,19281.6,16542,519,1098
3/1/2017,android  -  BBM App Install,NORMAL,448100,14400,23000,20815.2,17598,677,1217
4/1/2017,android  -  BBM App Install,NORMAL,629800,15000,36500,14560.8,13222,585,1053
5/1/2017,android  -  BBM App Install,NORMAL,767400,22500,34500,12859.2,11264,411,1019
6/1/2017,android  -  BBM App Install,NORMAL,1318450,24750,40000,11097.6,10292,449,1336
1/1/2016,android  -  Facebook App Install,HIGH,250000,8400,20000,30468.01,9089,697,2283
2/1/2016,android  -  Facebook App Install,HIGH,200000,11000,20000,40106.21,18026,364,1021
3/1/2016,android  -  Facebook App Install,HIGH,250000,12800,27692,39399.31,15969,400,993
4/1/2016,android  -  Facebook App Install,HIGH,200000,18000,29230,38592.2,21651,674,1225
5/1/2016,android  -  Facebook App Install,HIGH,250000,23000,30769,41262.36,24961,939,1580
6/1/2016,android  -  Facebook App Install,HIGH,400000,29400,41538,79832.07,32419,900,1740
7/1/2016,android  -  Facebook App Install,HIGH,500000,27300,53846,105819.69,40223,1360,2332
8/1/2016,android  -  Facebook App Install,HIGH,300000,25200,33500,41560.36,21377,1012,1747
9/1/2016,android  -  Facebook App Install,HIGH,350000,NA,42000,89896.79,21813,1005,1686
10/1/2016,android  -  Facebook App Install,HIGH,300000,12300,20000,69514.72,31121,1287,2081
11/1/2016,android  -  Facebook App Install,HIGH,325000,12900,23000,72506.57,36475,1323,2191
12/1/2016,android  -  Facebook App Install,HIGH,350000,14400,24000,100532.55,104945,3756,4671
1/1/2017,android  -  Facebook App Install,HIGH,320000,12300,18000,107079.63,105444,4286,6810
2/1/2017,android  -  Facebook App Install,HIGH,346300,12900,20500,88910.26,73090,3090,5263
3/1/2017,android  -  Facebook App Install,HIGH,448100,14400,23000,103609.19,91757,4516,7028
4/1/2017,android  -  Facebook App Install,HIGH,629800,15000,36500,215186.24,73045,4242,5576
5/1/2017,android  -  Facebook App Install,HIGH,767400,22500,34500,362542.56,78014,3237,5836
6/1/2017,android  -  Facebook App Install,HIGH,1318450,24750,40000,628422.47,85757,3107,6967
1/1/2016,android  -  Glispa App Install,NORMAL,250000,8400,20000,63951.8,39328,1832,5669
2/1/2016,android  -  Glispa App Install,NORMAL,200000,11000,20000,20507.3,18946,1048,2746
3/1/2016,android  -  Glispa App Install,NORMAL,250000,12800,27692,28556,18090,981,2252
4/1/2016,android  -  Glispa App Install,NORMAL,200000,18000,29230,39813.4,25996,1024,1941
5/1/2016,android  -  Glispa App Install,NORMAL,250000,23000,30769,54855.9,33946,1014,1983
6/1/2016,android  -  Glispa App Install,NORMAL,400000,29400,41538,57225.3,35578,930,2494
7/1/2016,android  -  Glispa App Install,NORMAL,500000,27300,53846,36491.4,21983,1092,2095
8/1/2016,android  -  Glispa App Install,NORMAL,300000,25200,33500,47209.8,30335,1102,2115
9/1/2016,android  -  Glispa App Install,NORMAL,350000,NA,42000,14568.4,8169,611,1078
10/1/2016,android  -  Glispa App Install,NORMAL,300000,12300,20000,9727.3,12686,854,1319
11/1/2016,android  -  Glispa App Install,NORMAL,325000,12900,23000,10540.2,12266,656,1192
12/1/2016,android  -  Glispa App Install,NORMAL,350000,14400,24000,25759.8,23867,1045,1450
