"reporting_date","platform","channel_group","total_cost_usd"
"12/31/2016","android","GDN App Install",4362.04
"12/31/2016","android","inMobi App Install",3725.4
"12/31/2016","ios","Facebook App Install",95.84
"12/31/2016","android","BBM App Install",880.8
"12/31/2016","ios","Facebook DPA",0
"12/31/2016","android","Iron Source App Install",0
"12/31/2016","ios","inMobi App Install",0
"12/31/2016","ios","UAC App Install",0
"12/31/2016","ios","GDN App Install",1455.34
"12/31/2016","android","Instagram App Install",0
"12/31/2016","android","UAC App Install",0
"12/31/2016","ios","BBM App Install",76.8
"12/31/2016","android","Facebook DPA",0
"12/31/2016","android","Glispa App Install",317.9
"12/31/2016","ios","Instagram App Install",0
"12/31/2016","ios","Mundomedia App Install",0
"12/31/2016","android","Facebook App Install",3497.16
"12/30/2016","android","Glispa App Install",1452
"12/30/2016","android","Facebook DPA",0
"12/30/2016","android","Facebook App Install",3437.47
"12/30/2016","android","UAC App Install",0
"12/30/2016","android","inMobi App Install",4107.6
"12/30/2016","ios","Facebook App Install",109.43
"12/30/2016","ios","BBM App Install",80.4
"12/30/2016","ios","GDN App Install",1871.16
"12/30/2016","ios","inMobi App Install",0
"12/30/2016","ios","Instagram App Install",0
"12/30/2016","android","GDN App Install",5039.78
"12/30/2016","android","BBM App Install",994.8
"12/30/2016","ios","Facebook DPA",0
"12/30/2016","android","Instagram App Install",0
"12/30/2016","android","Iron Source App Install",0.9
"12/30/2016","ios","UAC App Install",0
"12/29/2016","ios","Facebook App Install",138.64
"12/29/2016","ios","Facebook DPA",0
"12/29/2016","android","UAC App Install",0
"12/29/2016","ios","inMobi App Install",0
"12/29/2016","android","Facebook DPA",0
"12/29/2016","android","GDN App Install",5817.13
"12/29/2016","android","Glispa App Install",1373.9
"12/29/2016","android","BBM App Install",954
"12/29/2016","android","inMobi App Install",4306.4
"12/29/2016","ios","UAC App Install",0
"12/29/2016","android","Facebook App Install",3429.61
"12/29/2016","android","Iron Source App Install",6.3
"12/29/2016","ios","BBM App Install",82.8
"12/29/2016","ios","Instagram App Install",0
"12/29/2016","ios","GDN App Install",1962.26
"12/29/2016","android","Instagram App Install",0
"12/28/2016","android","Glispa App Install",909.7
"12/28/2016","android","Facebook App Install",3464.05
"12/28/2016","ios","inMobi App Install",0
"12/28/2016","ios","BBM App Install",102
"12/28/2016","android","Instagram App Install",0
