"month","platform","channel_group","season","budget"
"7/1/2017","android","BBM App Install",0,6.88
"7/1/2017","android","FB App Install",0,6.88
"7/1/2017","android","Glispa App Install",0,6.88
"7/1/2017","android","inMobi App Install",0,6.88
"7/1/2017","android","Iron Source App Install",0,6.88
"7/1/2017","android","UAC App Install",0,6.88
"7/1/2017","ios","BBM App Install",0,6.88
"7/1/2017","ios","FB App Install",0,6.88
"7/1/2017","ios","inMobi App Install",0,6.88
"7/1/2017","ios","Mundomedia App Install",0,6.88
"7/1/2017","ios","UAC App Install",0,6.88
