Channel,Date,CA hotel target,CA flight target,Cost,Sum_Install,CA_hotel,CA_flight,Total Budget,CA_hotel_log,CA_flight_log,Cost_log,Budget_log,Tier
android-BBM App Install,1-Jan,8400,20000,18619.2,12138,770,2327,250000,2.886490725,3.366796383,4.269961017,5.397940009,NORMAL
android-BBM App Install,1-Feb,11000,20000,8438.4,6892,339,884,200000,2.530199698,2.946452265,3.926260108,5.301029996,NORMAL
android-BBM App Install,1-Mar,12800,27692,12086.4,5068,235,478,250000,2.371067862,2.679427897,4.082296963,5.397940009,NORMAL
android-BBM App Install,1-Apr,18000,29230,25249.2,16733,428,921,200000,2.631443769,2.96425963,4.402247622,5.301029996,NORMAL
android-BBM App Install,1-May,23000,30769,30985.2,20339,699,1161,250000,2.844477176,3.06483222,4.491154304,5.397940009,NORMAL
android-BBM App Install,1-Jun,29400,41538,20667.6,13450,549,1200,400000,2.739572344,3.079181246,4.315290048,5.602059991,NORMAL
android-BBM App Install,1-Jul,27300,53846,32467.2,19704,822,1378,500000,2.914871818,3.139249218,4.511444836,5.698970004,NORMAL
android-BBM App Install,1-Aug,25200,33500,38727.6,21331,660,1257,300000,2.819543936,3.099335278,4.588020584,5.477121255,NORMAL
android-BBM App Install,1-Sep,21000,42000,23892,10271,575,1008,350000,2.759667845,3.003460532,4.378252506,5.544068044,NORMAL
android-BBM App Install,1-Oct,12300,20000,23749.2,21000,830,1364,300000,2.919078092,3.13481437,4.375648985,5.477121255,NORMAL
android-BBM App Install,1-Nov,12900,23000,22324.8,20135,788,1506,325000,2.896526217,3.177824972,4.348787577,5.511883361,NORMAL
android-BBM App Install,1-Dec,14400,24000,28197.6,24002,1088,1509,350000,3.036628895,3.17868924,4.450212146,5.544068044,NORMAL
android-BBM App Install,1-Jan,12300,18000,22311.6,19103,698,1475,320000,2.843855423,3.16879202,4.348530715,5.505149978,NORMAL
android-BBM App Install,1-Feb,12900,20500,19281.6,16542,519,1098,346300,2.715167358,3.04060234,4.285143069,5.539452492,NORMAL
android-BBM App Install,1-Mar,14400,23000,20815.2,17598,677,1217,448100,2.830588669,3.085290578,4.318380588,5.651374944,NORMAL
android-BBM App Install,1-Apr,15000,36500,14560.8,13222,585,1053,629800,2.767155866,3.022428371,4.163185237,5.799202656,NORMAL
android-BBM App Install,1-May,22500,34500,12859.2,11264,411,1019,767400,2.613841822,3.008174184,4.109213951,5.885021795,NORMAL
android-BBM App Install,1-Jun,24750,40000,11097.6,10292,449,1336,1318450,2.652246341,3.125806458,4.045229067,6.120063665,NORMAL
android-Facebook App Install,1-Jan,8400,20000,30468.01,9089,697,2283,250000,2.843232778,3.358505911,4.483844089,5.397940009,HIGH
android-Facebook App Install,1-Feb,11000,20000,40106.21,18026,364,1021,200000,2.561101384,3.009025742,4.603211623,5.301029996,HIGH
android-Facebook App Install,1-Mar,12800,27692,39399.31,15969,400,993,250000,2.602059991,2.996949248,4.595488616,5.397940009,HIGH
android-Facebook App Install,1-Apr,18000,29230,38592.2,21651,674,1225,200000,2.828659897,3.088136089,4.586499537,5.301029996,HIGH
android-Facebook App Install,1-May,23000,30769,41262.36,24961,939,1580,250000,2.972665592,3.198657087,4.615554064,5.397940009,HIGH
android-Facebook App Install,1-Jun,29400,41538,79832.07,32419,900,1740,400000,2.954242509,3.240549248,4.90217739,5.602059991,HIGH
android-Facebook App Install,1-Jul,27300,53846,105819.69,40223,1360,2332,500000,3.133538908,3.367728546,5.024566485,5.698970004,HIGH
android-Facebook App Install,1-Aug,25200,33500,41560.36,21377,1012,1747,300000,3.005180513,3.242292905,4.618679301,5.477121255,HIGH
android-Facebook App Install,1-Sep,29-Jun,42000,89896.79,21813,1005,1686,350000,3.002166062,3.22685757,4.953744184,5.544068044,HIGH
android-Facebook App Install,1-Oct,12300,20000,69514.72,31121,1287,2081,300000,3.109578547,3.31827208,4.842076778,5.477121255,HIGH
android-Facebook App Install,1-Nov,12900,23000,72506.57,36475,1323,2191,325000,3.121559844,3.340642378,4.860377361,5.511883361,HIGH
android-Facebook App Install,1-Dec,14400,24000,100532.55,104945,3756,4671,350000,3.574725584,3.669409867,5.002306699,5.544068044,HIGH
android-Facebook App Install,1-Jan,12300,18000,107079.63,105444,4286,6810,320000,3.632052167,3.833147112,5.029706862,5.505149978,HIGH
android-Facebook App Install,1-Feb,12900,20500,88910.26,73090,3090,5263,346300,3.489958479,3.72123337,4.94895188,5.539452492,HIGH
android-Facebook App Install,1-Mar,14400,23000,103609.19,91757,4516,7028,448100,3.654753933,3.846831753,5.015398278,5.651374944,HIGH
android-Facebook App Install,1-Apr,15000,36500,215186.24,73045,4242,5576,629800,3.627570664,3.746322765,5.332814497,5.799202656,HIGH
android-Facebook App Install,1-May,22500,34500,362542.56,78014,3237,5836,767400,3.510142699,3.766115283,5.559358997,5.885021795,HIGH
android-Facebook App Install,1-Jun,24750,40000,628422.47,85757,3107,6967,1318450,3.492341253,3.843045811,5.798251705,6.120063665,HIGH
android-Glispa App Install,1-Jan,8400,20000,63951.8,39328,1832,5669,250000,3.262925469,3.753506457,4.805852773,5.397940009,NORMAL
android-Glispa App Install,1-Feb,11000,20000,20507.3,18946,1048,2746,200000,3.020361283,3.438700533,4.311908485,5.301029996,NORMAL
android-Glispa App Install,1-Mar,12800,27692,28556,18090,981,2252,250000,2.991669007,3.352568386,4.455697373,5.397940009,NORMAL
android-Glispa App Install,1-Apr,18000,29230,39813.4,25996,1024,1941,200000,3.010299957,3.288025535,4.600029267,5.301029996,NORMAL
android-Glispa App Install,1-May,23000,30769,54855.9,33946,1014,1983,250000,3.006037955,3.297322714,4.739223345,5.397940009,NORMAL
android-Glispa App Install,1-Jun,29400,41538,57225.3,35578,930,2494,400000,2.968482949,3.396896449,4.757588078,5.602059991,NORMAL
android-Glispa App Install,1-Jul,27300,53846,36491.4,21983,1092,2095,500000,3.038222638,3.321184027,4.562190525,5.698970004,NORMAL
android-Glispa App Install,1-Aug,25200,33500,47209.8,30335,1102,2115,300000,3.042181595,3.325310372,4.674032161,5.477121255,NORMAL
android-Glispa App Install,1-Sep,29-Jun,42000,14568.4,8169,611,1078,350000,2.78604121,3.032618761,4.163411857,5.544068044,NORMAL
android-Glispa App Install,1-Oct,12300,20000,9727.3,12686,854,1319,300000,2.931457871,3.120244796,3.98799231,5.477121255,NORMAL
android-Glispa App Install,1-Nov,12900,23000,10540.2,12266,656,1192,325000,2.816903839,3.076276255,4.022848852,5.511883361,NORMAL
